"";"index";"all_text";"vuln"
"0";"13042";"better wording for the error condition 2723 re 2710 picked from symphonycms 4368f1a symphonycms b650b5c";"good"
"1";"12890";"5738 disable subnav collapse javascript";"good"
"2";"8898";"interface can t have php4 constructor summary don t raise error for them fix facebook hhvm 8121 reviewed by markw65 differential revision d7418115";"good"
"3";"8418";"clear __classname__ of duped class module ref 4027";"good"
"4";"1988";"for 4 9 3 cve 2018 14468 frf 16 add a missing length check the specification say in a well formed magic number information element the data is exactly 4 byte long in mfr_print check this before trying to read those 4 byte this fix a buffer over read discovered by bhargava shastry sect tu berlin add a test using the capture file supplied by the reporter s";"bad"
"5";"9229";"release engineering 4 036";"good"
"6";"12202";"update device_edit php 2854 search all profile when looking up the sofia contact";"good"
"7";"622";"unescape and resolve path before resource check fix scenario where someone could use to access private resource";"bad"
"8";"1956";"fix 10498 crash in fuzzed java file";"bad"
"9";"7808";"ebmlelement don t read beyond end of buffer when reading variable length integer";"good"
"10";"2744";"use phpseclib s crypt random to generate csrf token signed off by michal čihař michal cihar com";"bad"
"11";"11394";"nfc llcp fix info leak via msg_name in llcp_sock_recvmsg the code in llcp_sock_recvmsg doe not initialize all the member of struct sockaddr_nfc_llcp when filling the sockaddr info nor doe it initialize the padding byte of the structure inserted by the compiler for alignment also if the socket is in state llcp_closed or is shutting down during receive the msg_namelen member is not updated to 0 while otherwise returning with 0 i e success the msg_namelen update is also missing for stream and seqpacket socket which don t fill the sockaddr info both issue lead to the fact that the code will leak uninitialized kernel stack byte in net socket c fix the first issue by initializing the memory used for sockaddr info with memset 0 fix the second one by setting msg_namelen to 0 early it will be updated later if we re going to fill the msg_name member cc lauro ramos venancio lauro venancio openbossa org cc aloisio almeida jr aloisio almeida openbossa org cc samuel ortiz sameo linux intel com signed off by mathias krause minipli googlemail com signed off by david s miller davem davemloft net";"good"
"12";"5858";"security self x on column type table search see pmasa 2011 18";"bad"
"13";"9860";"update thanks md";"good"
